Company/Brand,Sector,Stage,Amount ($),HeadQuarter,What it does,Year of Funding,Amount(USD)
DronaHQ,Mobile,Angel,500000.0,Mumbai,DronaHQ is an enterprise mobile engagement platform.,2018, 
FastFox,Rental,Series A,,Gurgaon,FastFox: Market Network for Home Rentals (India),2018,INR
BuyForexOnline,Travel,https://docs.google.com/spreadsheets/d/1x9ziNeaz6auNChIHnMI8U6kS7knTr3byy_YBGfQaoUA/edit#gid=1861303593,2000000.0,Bangalore,BuyForexOnline.com is India's first completely online provider for buying Foreign Exchange.,2018, 
Colive.in,Consumer,Seed,1800000.0,Bangalore,A technology powered network of Branded Serviced Homes conveniently located near educational institutions & workplaces.,2018, 
Agricxlab Private Limited,"B2B, Farming, Marketplace",Seed,500000.0,Thane,Online marketplace where farmers and traders can sell their produce to B2B buyers,2018, 
Corefactors,—,Seed,0.0,Bangalore,"Corefactors is a leading campaign management, business communication and analytics company.",2018,NUL
Fincash.com,Wealth Management,Seed,150000.0,Mumbai,A startup in the personal finance space in India .,2018, 
Pandorum Technologies,Biotechnology,Series A,3600000.0,Bengaluru,Bengaluru based biotech startup.,2018, 
Shirsa Labs,"Education, Gaming, Training",Seed,500000.0,Mumbai,Shirsa Labs is a cognitive skill assessment and training portal that provides children with fun educational games.,2018, 
PetSutra,Veterinary,Seed,,Gurgaon,Gurugram-based Online petcare platform.,2018,INR
Awaaz De,"Internet, Mobile, Social Entrepreneurship, Telecommunications, Wireless",Angel,0.0,Ahmedabad,Awwaz.De develops inclusive mobile solutions that enable organizations to achieve last-mile connectivity for social impact.,2018,NUL
PinkBlue,"Health Care, Hospital, Supply Chain Management",Seed,300000.0,Bangalore,PinkBlue.in - Super-efficient supply-chain for clinical supplies,2018, 
Eduvanz,"Finance, Financial Services",Angel,500000.0,Mumbai,"Eduvanz is new, innovative finance company, which is completely revolutionizing the student loan market.",2018, 
Rupeek,"Financial Services, Lending",Series A,6830000.0,Bangalore,Rupeek is an asset backed online lending platform currently operating in the space of Gold loans.,2018, 
Backpacker Panda Holidays Private Limited,"Tourism, Travel",Series A,1400000.0,Pune,Backpacker Panda is creating an ecosystem for youth accommodation and travel.,2018, 
Shape (School Health and Physical Education),Education,Seed,200000.0,Pune,Physical education start up,2018, 
Placio,"Hospitality, Real Estate",Seed,2000000.0,Noida,Placio is a student housing and a complete broker-free platform.,2018, 
Aviom India Housing Finance,Finance,Series A,,New Delhi,Delhi based housing finance company.,2018,INR
GenRobotic,Market Research,Seed,0.0,Trivandrum,A Robotic Company.,2018,NUL
HeyHolidays,"Tourism, Travel",Seed,1000000.0,Bangalore,"HeyHolidays, a global player in online vacation rentals.",2018, 
Pratilipi,"Digital Media, EBooks, Publishing, Reading Apps",Series A,4300000.0,Bengaluru,Amazon's Kindle Direct Publishing for Indian Languages,2018, 
SectorQube,"Consumer Electronics, Embedded Systems, Hardware, Smart Building, Software",Seed,0.0,Ernakulam,SectorQube develops smart kitchen devices that make food automatically.,2018,NUL
Food Memories,"Food and Beverage, Food Processing",Seed,0.0,Ahmedabad,Iconic Indian Delicacies from the most renowned vendors of India Delivered Globally.,2018,NUL
ZAMROO,"Internet, Marketplace, Shopping",Seed,0.0,India,Zamroo is a growing mobile marketplace that allows users to buy and sell locally.,2018,NUL
Silversparro Technologies Pvt. Ltd,"Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",Seed,300000.0,Gurgaon,Silversparro is a deep learning technology solution provider.,2018, 
Creator’s Gurukul,Facilities Support Services,Angel,0.0,Gurgaon,A coworking space provider.,2018,NUL
Emflux Motors,"Automotive, Electric Vehicle, Energy",Seed,364846.0,Bengaluru,Emflux Motors is committed to bring clean and sustainable energy into a state of universal acceptance through technological innovation.,2018, 
Tricog Health Services Pvt Ltd,"Health Care, Health Diagnostics, Predictive Analytics",Series A,4000000.0,Bangalore,Predictive Healthcare Analytics Company,2018, 
Scapic,"Cloud Computing, Computer, SaaS, Software",Seed,500000.0,Bangalore,Virtual/Augmented Reality Start Up .,2018, 
6Degree,"Fashion, Lifestyle, Retail",Seed,400000.0,Mumbai,A fashion enterprise that provides a launchpad to fashion talent and brands using a tech enabled platform,2018, 
Chrysalis (EZ Vidya),Education,Seed,0.0,Chennai,Chrysalis (EZ Vidya) is India’s leading educational research and innovation organization,2018,NUL
Ekincare,Medical,Series A,1500000.0,Hyderabad,EKincare empowers you to take charge of your health by enabling you to monitor critical medical info and make it available anywhere.,2018, 
Streo,Music Streaming,Seed,0.0,Gurgaon,"Live stream music from nightclubs, bars & festivals!",2018,NUL
Groww,"Finance, Impact Investing, Internet",Seed,120000.0,Kormangala,Groww offers a new way of investing money.,2018, 
Cell Propulsion,—,Seed,,Bangalore,Cell Propulsion is an electric mobility startup that designs autonomous electric vehicles.,2018,INR
Chezuba,"Internet, Social Entrepreneurship",Angel,,Hyderabad,Chezuba is a web-based platform enabling skilled professionals to volunteer online with Non-profits worldwide,2018,INR
Ontrack Technologies Pvt. Ltd,Retail,Seed,0.0,Bangalore,Ontrack provides affordable independent transport to those dependent on cabs and autos for commute by renting bikes on a monthly basis.,2018,NUL
Wealthtrust,"Finance, Impact Investing, Mobile Apps",Seed,500000.0,Mumbai,Wealthtrust offers a wealth manager application that enables its users to invest and manage their investments online.,2018, 
Faclon Labs,"Cloud Computing, Computer, Software",Seed,0.0,Mumbai,Faclon is an IoT and data analytics based tech startup building products to make cities and villages smart.,2018,NUL
Awign Enterprises,"Business Development, Market Research, Outsourcing",Seed,,Bangalore,Operations and manpower outsourcing startup,2018,INR
CollPoll,Education,Seed,0.0,Bangalore,World-class Enterprise System for Education.,2018,NUL
Zyla Health,"Health Care, Hospitality",Seed,0.0,New Delhi,Zyla is transforming the way healthcare is delivered in India with specific focus on high-risk chronic patients.,2018,NUL
Hubhopper,"Internet, Social News, Sports",Series A,500000.0,Delhi,Get your daily dose of interest as summaries from news and magazine stories .,2018, 
Rubix108 Technologies,Information Technology,Seed,1000000.0,Pune,Rubix Total App makes it effortless for Institutes to send home important information and updates about the day’s learning experiences.,2018, 
Workflexi,Human Resources,Seed,,Bangalore,"Be Smart, Work on Contract,Be Smart, Hire on Contract",2018,INR
Streak,Financial Services,Seed,,Bangalore,Algorithmic trading platform.,2018,INR
Kuants,Financial Services,Seed,,Gurgaon,Algorithmic trading platform.,2018,INR
NiYO Solutions,"Finance, Financial Services, FinTech",Series A,13200000.0,Bangalore,NiYO is a fintech company that helps salaried employees access company benefits and other financial services.,2018, 
Hippo Video,"Customer Service, Software, Video, Video Streaming",Seed,0.0,Chennai,A video recording and sharing software.,2018,NUL
Satvacart,"E-Commerce, Food Processing",Seed,0.0,Gurgaon,Satvacart is a Gurgaon’s largest online supermarket,2018,NUL
Daaki,Health Care,Angel,0.0,Bangalore,Sports Nutrition startup,2018,NUL
Simulanis,Training,Seed,500000.0,New Delhi,A Delhi-based Augmented Reality and Virtual Reality technology development company.,2018, 
MY CHIRAAG CAB,Travel,Seed,1000000.0,Jaipur,MY CHIRAAG CAB SERVICES PVT LTD,2018, 
WOTU,Food and Beverage,Seed,0.0,Bangalore,It operates a business-to-business e-commerce portal for food and beverages.,2018,NUL
Flathalt,—,Angel,50000.0,Gurgaon,FInd your Customized Home here.,2018, 
True Elements,"Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",Seed,,Pune,True elements offers a range of high-quality snacks and supplements that are inspired by natural foods consumed by our ancestors.,2018,INR
Trendlyne Technologies,Financial Services,Seed,200000.0,Bangalore,Trendlyne Technologies is a stock market analytics platform and marketplace for retail investors.,2018, 
Planys Technologies,"Manufacturing, Oil and Gas, Robotics",Series A,,Chennai,Planys Technologies is India’s first and only manufacturer of compact ROVs providing underwater robotic inspection and survey solutions.,2018,INR
HealthPlix,"Fitness, Health Care, Wellness",Series A,3000000.0,Bangalore,HealthPlix is a healthtech startup,2018, 
dishq,—,Seed,400000.0,Bengaluru,dishq leverages food science and machine learning (AI) to understand and predict people's tastes.,2018, 
Entropik Technology,"Artificial Intelligence, Computer, Machine Learning",Seed,1100000.0,Bengaluru,The boundaries between Human and Machines are shrinking fast.,2018, 
myHQ,"Collaboration, Communities, Coworking, Sharing Economy",Series A,500000.0,Delhi,myHQ turns your everyday coffee space into a perfect work zone. Get an amazing work environment without paying any rent.,2018, 
Trell,—,Seed,1250000.0,Bangalore City,Trell is a location based network which helps you in exploring amazing experiences and annotating places around you.,2018, 
Kidovators (by GyanLab),"Big Data, EdTech, Machine Learning",Seed,180000.0,Bangalore,Building future human capital through 21st Century Skills programs for K-12,2018, 
Log 9 Materials,Nanotechnology,Seed,,Uttar Pradesh,Log 9 Materials is a nano-materials manufacturing and RnD startup,2018,INR
VTION,"Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",Seed,,Gurgaon,VTION is a media technology innovation firm aiming to solve key problems in the media based ecosystem.,2018,INR
HousingMan.com,—,Seed,,Bengaluru,"New Apartments, Flats for Sale in Bangalore",2018,INR
Steradian Semiconductors,—,Seed,0.0,Bangalore,It is a fabless semiconductor company focused on CMOS millimeter wave products for Radar.,2018,NUL
RupeeCircle,"Financial Services, Lending, Peer to Peer",Seed,,Mumbai,RupeeCircle is a new age finance company.,2018,INR
Wooden Street,"E-Commerce, Furniture, Home Decor, Interior Design, Internet",Series A,1000000.0,Jaipur,Woodenstreet.com ensures to fulfill customer’s unique furniture requirements by crafting one-of-a-kind furniture pieces.,2018, 
The Ken,Digital Media,Series A,1500000.0,Bengaluru,The Ken is India’s first subscriptions-only business news site,2018, 
SaffronStays,—,Seed,2000000.0,Mumbai,SaffronStays connects travellers to India's Incredible hosts.,2018, 
Vebbler,"File Sharing, Personalization, Social Media",Seed,0.0,Bengaluru,A personal network for close people,2018,NUL
Foyr,"Home Decor, Interior Design",Series A,4200000.0,Pune,"Foyr.com is India's first online, automated interior designer",2018, 
MEngage,"Health Care, Medical Device, Mobile Apps",Seed,175000.0,Jaipur,MEngage is a mass consumer engagement application for doctors on both android and IOS platforms.,2018, 
Inner Being Wellness,—,Angel,,Hyderabad,"Inner Being Wellness manufactures beauty, wellness, and nutrition products.",2018,INR
Kobster,"E-Commerce, Facilities Support Services, Procurement, Supply Chain Management",Seed,0.0,Chennai,Kobster is a pioneer of B2B eProcurement and an eMarketplace providing Corporates an end-to-end solution for their procure-to-pay cycle.,2018,NUL
Wishberry,"Crowdfunding, Finance, Financial Services",Series A,,Mumbai,Wishberry is a rewards-based crowdfunding platform that enables users to raise funds for their creative and innovative ideas.,2018,INR
McXtra,"Finance, Financial Services, Insurance",Seed,1300000.0,Andheri,McXtra is a digital insurance broking startup.,2018, 
Magic Crate,"Children, Education, Online Portals",Seed,0.0,Bangalore,"Magic Crate is a theme based stimulating, fun and learning activity box for 4-8 year olds that is mailed to your doorstep every month.",2018,NUL
SmartVizX,"Software, Virtual Reality",Seed,1450000.0,Noida,It is a Virtual Reality Solutions StartUp,2018, 
MySEODoc,—,Seed,0.0,Delhi,"SEO, PPC, Search Engine Marketing, Social Media Optimization, Content Marketing, Brand Reputation Management",2018,NUL
ENLYFT DIGITAL SOLUTIONS PRIVATE LIMITED,—,Seed,,Pune,Digital Marketing Agency,2018,INR
Scale Labs,—,Seed,1000000.0,Delhi,Scale Labs is a cross border e-commerce solutions provider that drives global trade for brands.,2018, 
HungerBox,"B2B, Food and Beverage, Food Delivery",Series A,4500000.0,Bengaluru,HungerBox is a full stack B2B F&B technology company delivering food solutions for the corporates in India.,2018, 
Biryani By Kilo,"Catering, Food and Beverage, Food Delivery, Food Processing",Seed,1000000.0,Noida,BBK delivers both authentic taste of Hyderabadi and Lucknowi Biryani prepared in individual earthen Handis with the freshest ingredients.,2018, 
Wholesome Habits (EAT Anytime),"Food and Beverage, Snack Food",Seed,500000.0,Mumbai,Wholesome Habits (EAT Anytime) is a healthy snacks Company.,2018, 
GoBumpr,"Automotive, E-Commerce, Mobile",Seed,600000.0,Mylapore,Car Service and Bike Service Mobile App,2018, 
Fixpocket,"Computer, Digital Marketing, Facilities Support Services, Graphic Design, Internet, Mobile Apps, Social Media Marketing, Web Development",Seed,250000.0,Ahmedabad,Fixpocket is a internet-based startup.,2018, 
edureka!,"Android, Big Data, Blockchain, Cloud Computing, EdTech, Education, Information Technology, iOS, Training, Web Development",Series A,2000000.0,Bangalore,"Edureka is the fastest growing online learning platform that offers live, instructor-led courses for professionals from various industries.",2018, 
Hashtag Loyalty Private Limited,"Analytics, CRM, Loyalty Programs, Machine Learning, Marketing Automation, Retail Technology, SaaS, Small and Medium Businesses",Seed,0.0,Mumbai,Hashtag Loyalty is a customer engagement and marketing automation tool for local businesses.,2018,NUL
Wow Express,"Delivery, Information Technology, Mobile Apps",Series A,4500000.0,Mumbai,"WOW, as customers react to his studiously taught, trained, polite and courteous nature.",2018, 
ZunRoof,"Environmental Consulting, Renewable Energy",Angel,,Gurgaon,ZunRoof is a rooftop focused solar startup.,2018,INR
Eggoz,"Food and Beverage, Food Processing",Angel,,Indore,Eggoz is a full-stack layer poultry business operator & service provider .,2018,INR
Sqrrl Fintech,"Big Data, Business Intelligence, Financial Services, FinTech, Personal Finance",Seed,1000000.0,Gurgaon,Personal Finance,2018, 
GalaxyCard,"Finance, Financial Services, FinTech",Seed,0.0,Noida,GalaxyCard is a mobile based Instant credit card.,2018,NUL
IndiQube,"Commercial Real Estate, Coworking, Office Administration, Real Estate",Series A,15000000.0,Bengaluru,IndiQube is a provider of co-working spaces based in Bengaluru.,2018, 
EGK Foods,"Food and Beverage, Food Processing, Organic Food, Snack Food",Seed,,Mumbai,A food processing enterprise registered with StartUp India .,2018,INR
NirogStreet,"Apps, Health Care, Internet, Mobile Apps, Personal Health",Seed,300000.0,Gurgaon,NirogStreet is an Ayurvedic doctor discovery and appointment booking platform where patients can easily find doctors and fix consultation.,2018, 
Pixr8,"Digital Media, Incubators, Social Entrepreneurship",Seed,50000.0,Ghaziabad,Pixr8 is a global media platform dedicated to Start-ups and business organisations for promoting entrepreneurship work.,2018, 
Nivesh.com,"Finance, Financial Services, Marketing",Seed,,Noida,Nivesh.com is a mass market mutual funds investment platform.,2018,INR
Theranosis Life Sciences,"Biotechnology, Health Care, Life Science, Medical Device",Seed,0.0,Hyderabad,A fully functioning cell culture facility and molecular biology setup.,2018,NUL
Poshmiles Online Solutions Private Limited,Travel,Seed,0.0,Bengaluru,Poshmiles aims to help point travellers to long weekend trips at popular and undiscovered destinations based on budget & interest.,2018,NUL
Reculta,"Education, Human Resources",Seed,0.0,Noida,A campus recruitment solution provider.,2018,NUL
Orbo.ai,Internet,Seed,0.0,Mumbai,Orbo is a computer vision and deep facial technology company.,2018,NUL
Inntot Technologies,Consumer Electronics,Seed,0.0,Kochi,"Inntot Technologies, is a technology driven company.",2018,NUL
Zoctr Health,"Apps, Health Care, Hospital, Mobile Apps",Seed,0.0,Powai,Zoctr Health Network is a first-of-its kind pan-India Home & Telehealth Company,2018,NUL
Hey Deedee,"Delivery Service, Logistics, Service Industry",Seed,,Mumbai,Hey Deedee is a Mumbai-based company that provides solutions to parcel delivery problems.,2018,INR
DigiConnectt Technologys,"Information Services, Information Technology",Seed,125000.0,Bengaluru,A technology company focused on introducing products that will accelerate and enhance sales productivity and effectiveness .,2018, 
Locus.sh,"Big Data, Data Visualization, Logistics, Software",Series A,4000000.0,Bangalore,Locus is an intelligent logistics automation platform.,2018, 
Sports Flashes Pvt. Ltd,"Basketball, Cricket, Cycling, eSports, Fitness, Golf, Health Care, Hockey, Sports, Swimming, Table Tennis, Volley Ball",Seed,1000000.0,New Delhi,"Sports Flashes operates a sports content app that provides sports news, live scores, fantasy gaming, expert views, trivia, and more.",2018, 
Inc42,"Media and Entertainment, News, Publishing",Seed,0.0,New Delhi,Inc42 is one of the leading tech media publications of India.,2018,NUL
Picxy,Internet,Seed,130000.0,Guntur,"A stock photo startup based in Amravati, Andhra Pradesh.",2018, 
Huddle,Consulting,Seed,300000.0,Haryana,A coworking incubator Company.,2018, 
Benepik,Human Resources,Seed,0.0,Gurgaon,HR Technology start-up.,2018,NUL
Cash Suvidha,Finance,Seed,1000000.0,New Delhi,Cash Suvidha is an Digital Lending Platform that provide working capital finance to SMEs and MSMEs in India.,2018, 
Smartcoin,"Big Data, Financial Services, Machine Learning, Predictive Analytics",Seed,2000000.0,Bangalore,Providing financial access to the millions of mobile users in India using alternative credit assessment,2018, 
Carmel Organics,"Agriculture, AgTech, Manufacturing",Series A,0.0,Indore,"Carmel Organics is an India-based herb company engaged in sourcing, processing, and distributing herbal tea ingredients.",2018,NUL
Roadcast,—,Angel,250000.0,New Delhi,Transforming the way businesses deliver. Work-force & fleet mobility tools.,2018, 
Printline Media(ThePrint),"Digital Media, News, Publishing",Seed,,New Delhi,A digital news platform.,2018,INR
Creditas Solutions,Financial Services,Seed,0.0,Gurgaon,Creditas was set-up in 2015 with an aim to help Financial Institutions find better ways to reach and interact with their customers.,2018,NUL
UrbanPiper,Software,Seed,0.0,Bengaluru,UrbanPiper offers restaurants and chains with a suite of products to manage and analyze their online presence.,2018,NUL
Doxper,"Health Care, Hospital",Seed,,Mumbai,Doxper is Health tech startup which has created a digital pen and coded paper system for doctors to record patient information,2018,INR
i2ifunding,"Crowdfunding, Finance, Financial Services",Angel,,Noida,i2ifunding is an online marketplace that connects borrowers looking for personal loans with investors looking for alternative investments.,2018,INR
ShakeDeal,"B2B, E-Commerce, Enterprise",Seed,0.0,Bangalore,Home of B2B Commerce,2018,NUL
HelloVerify,"Fraud Detection, Information Services, Security",Seed,0.0,Noida,HelloVerify is an online background check platform.,2018,NUL
Fasal,"Agriculture, AgTech, Artificial Intelligence, Internet of Things, Machine Learning",Seed,120000.0,Bengaluru,Climate Smart Precision Agriculture Platform,2018, 
CoinGeto,"Cryptocurrency, Trading Platform",Seed,,Delhi,CoinGeto is one of India’s most advanced digital assets exchange.,2018,INR
Avail Finance,"Finance, FinTech, Mobile Payments",Series A,17200000.0,Bangalore,Avail is a mobile-first platform aiming to financially include the urban mass of India.,2018, 
Tripeur,Information Technology,Seed,600000.0,Bengaluru,Radical Travel Automation - Cloud Based Corporate Travel & Expense Management Software,2018, 
Wedeterna,Wedding,Angel,0.0,Bangalore,"Wedeterna is a new-age, personalised and fresh approach to arranged marriages, DIY matrimonial community with only self created profiles.",2018,NUL
Stumagz,Digital Media,Seed,0.0,Hyderabad,Stumagz is about connecting with Stories Stumagz is about collaborating with people Stumagz is about creating a Cult.,2018,NUL
Doubtnut,"E-Learning, EdTech, Education, Image Recognition, Machine Learning, STEM Education",Seed,,Gurgaon,Gurgaon based E-learning platform.,2018,INR
MCaffeine,Consumer Goods,Seed,,Mumbai,MCaffeine is India's First Caffeine Infuse Personal Care Brand. It's an extension to the hyperactive lifestyle and individualistic identity.,2018,INR
TrustCheckr,Information Technology,Angel,100000.0,Bengaluru,A Bengaluru-based fraud analytics solution provider .,2018, 
HealthAssure,"Fitness, Health Care, Wellness",Seed,1000000.0,Mumbai,HealthAssure provides access to Discounted & High Quality primary care medical network.,2018, 
Picture TIme,Digital Entertainment,Seed,,New Delhi,Operator of low-cost mobile cinema theatres in rural areas.,2018,INR
1Crowd,"Crowdsourcing, Financial Services, Funding Platform, Venture Capital",Angel,3500000.0,Mumbai,Equity crowd funding platform focused on connecting investors with a host of extremely promising Indian start-ups and early stage ventures,2018, 
Aarav Unmanned Systems,"Delivery, Drones, Geospatial, Robotics",Seed,0.0,Bangalore,Professional Drones for Enterprise Applications,2018,NUL
Wellthy Therapeutics Pvt Ltd,"Health Care, Hospital",Seed,,Mumbai,"Wellthy is a digital therapeutics company focused on improving patient health through the intersection of technology, and clinical outcomes.",2018,INR
Nua,Consumer Goods,Seed,0.0,Mumbai,Nua is an e-commerce and feminine care brand platform focused on creating women care products.,2018,NUL
Kuvera.in,Financial Services,Angel,250000.0,Bangalore,An online platform for mutual fund investments.,2018, 
Livehealth,"Health Care, Information Technology, Management Information Systems",Seed,1100000.0,Pune,Livehealth is an end-to-end collaborative report management solution. We help you get your medical reports instantly from various health,2018, 
Gramophone,Farming,Seed,1000000.0,Indore,An agricultural inputs startup Company.,2018, 
Ora,"Business Travel, Hospitality, Hotel, Marketplace, Tourism, Travel Accommodations",Seed,0.0,Kolkata,Ora is an online marketplace of unique accommodations. Awarded as among top 3000 startups in India by IIM Kolkata.,2018,NUL
Buddy4Study.com,"Career Planning, Education, Higher Education, Service Industry",Series A,3000000.0,Noida,Buddy4Study is the best scholarship search engine for Indian students. It also helps organizations to set up their own scholarship schemes.,2018, 
Predible Health,Medical Device,Seed,0.0,Bangalore,Healthcare devices for cancer detection,2018,NUL
Syncremedies Healthcare Pvt Ltd,"Alternative Medicine, Health Care",Seed,0.0,Bangalore,"Syncremedies is an Integrated Medicine service that brings together Allopathy, Ayurveda and Homeopathy to treat chronic ailments.",2018,NUL
Blueleaf Cyberspace Systems,"Internet, Software",Seed,0.0,Bangalore,Bluleaf Cyberspace is Cloud Based Software Company.,2018,NUL
Toffee,—,Seed,1500000.0,Gurgaon,"Toffee is a bite size, micro-event & contextual insurtech startup which aims to de-jargonise the insurance buying experience.",2018, 
ORO Wealth,—,Series A,1600000.0,Mumbai,Online wealth management platform,2018, 
HealWell24,"Dental, Elder Care, Health Care, Home Health Care, Personal Health",Seed,200000.0,Mumbai,"HealWell24 is India's emerging technology-empowered healthcare company, aiming to bring world-class quality healthcare services anywhere.",2018, 
Acko General Insurance,"Financial Services, Insurance, Private Social Networking",Series A,12000000.0,Mumbai,Acko General Insurance is a digital insurance company in India that redefines insurance for the consumers.,2018, 
arzooo.com,"Consumer Electronics, E-Commerce, E-Commerce Platforms, Electronics, Shipping, Shopping",Seed,,Bangalore,E-commerce website promising the best price on any product a consumer buys anywhere on the internet.,2018,INR
Bonphul Air Products,CleanTech,Angel,,Delhi,A clean tech product Company,2018,INR
DheeYantra Research Labs,Artificial Intelligence,Seed,0.0,Bangalore,"DheeYantra is building a cognitive conversational chatbot platform by name ""dhee.ai"" for vernacular languages",2018,NUL
Edyoo,Education,Seed,1000000.0,Bengaluru,"Edyoo.com is a technology platform that offers the most intuitive design, flexibility, and ease of use.",2018, 
Chtrbox,"Advertising, Internet, Marketing",Angel,,Mumbai,Chtrbox connects social media influencers with brands .,2018,INR
Aashiyaan Housing and Development Finance,Financial Services,Seed,,Kolkata,Provide housing finance to those in the informal sector enabling the hither to un-served to own a home of their own.,2018,INR
BetterPlace Safety Solutions Pvt. Ltd.,"Human Resources, Security, Training",Series A,3000000.0,Bangalore City,"BetterPlace provides businesses with contractor workforce management, including onboarding, training, and background checks.",2018, 
Cashkumar,"Consumer Lending, Finance, FinTech",Seed,,Bengaluru,A P2P Lending Platform connecting millions of financially under-served & new to credit borrowers with investment savvy lenders in India,2018,INR
Rocketium,"Marketing, Social Media, Video",Seed,,Bangalore,Easy video creation for social media.,2018,INR
FreightBazaar,Transportation,Seed,0.0,Hyderabad,FreightBazaar.com is an online platform that connects Truck suppliers with Truck users.,2018,NUL
OPEN,Banking,Seed,0.0,Bangalore,Open up to a new world of Banking,2018,NUL
mfine,"Health Care, Hospital",Series A,4200000.0,Bengaluru,Hospital & Health Care Start up,2018, 
Earth Food,"Food and Beverage, Food Processing",Seed,,Pune,Earth Food is a healthy Food Start Up.,2018,INR
Charcoal Eats,Food Processing,Seed,,Mumbai,Charcoal Eats aims to bring Dominos style standardisation.,2018,INR
Wishfie,Apps,Seed,0.0,Bangalore,A platform for people to express their opinions in form of short videos around any topic.,2018,NUL
The Social Hook,Marketing,Seed,0.0,Bengaluru,Fast growing Influencer Marketing platform in India.,2018,NUL
FreightBro,"Apps, B2B, Freight Service, Logistics, SaaS, Shipping, Supply Chain Management, Transportation",Seed,0.0,Mumbai,Software for the new-age freight,2018,NUL
Finwego,—,Seed,0.0,Chennai,Finwego partners with Small and Medium Businesses in India to offer convenient and responsible credit to their employees,2018,NUL
Cricnwin,"Digital Entertainment, Fantasy Sports, Gaming, Sports",Seed,0.0,Gurgaon,Cricnwin is a Gurugram - based Fan Engagement Platform,2018,NUL
TheCollegeFever,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing",Seed,250000.0,Bangalore,"TheCollegeFever is a hub for fun, fiesta and frolic of Colleges.",2018, 
Wicked Ride Adventure Services Private Limited,"Automotive, Last Mile Transportation, Peer to Peer, Ride Sharing",Venture - Series Unknown,,Bangalore,Peer-to-Peer motor vehicles sharing,2018, 
Career Anna,"Commercial, E-Learning, Education",Seed,,Bangalore,India's Go to Career Commerce Portal,2018,INR
ERUDITUS Executive Education,"Continuing Education, EdTech, Education, Skill Assessment",Series C,,Mumbai,"Eruditus, promoted by Alumni of INSEAD and other top business schools, delivers high quality executive education programmes",2018, 
Gaia Smart Cities,"Smart Cities, Telecommunications",Seed,0.0,Mumbai,Gaia Smart Cities is an early leader in the rapidly-emerging Internet of Things (IoT) marketplace.,2018,NUL
Square Off,"Internet of Things, Robotics",Seed,,Mumbai,Delivering Imagination,2018, 
UrbanClap,"Apps, Home Services, Information Services, Information Technology",Series D,,Delhi,UrbanClap is India's leading managed marketplace for home services.,2018, 
Hospals,"Medical, Tourism",Seed,,New Delhi,Hospals is a medical tourism company.,2018, 
Kogta Financial India Limited,Financial Services,Series B,,Jaipur,Kogta Financial (India) Ltd is a retail-focused non banking financial company .,2018,INR
